panel,metric,family,count,mean,median,min,max,q1,q3,scenario,cap_type,allocator,paper
A_family_gap,efficiency_gap_pp,CMAB,375,29.22982392158263,29.944246429122828,2.2413944020776455,63.66729722205592,12.655892868397792,33.65874601766913,,,,
A_family_gap,efficiency_gap_pp,EXP3,375,18.57145721250442,18.644072516947247,1.0387029786984385,81.98651609075979,12.337486783049528,22.514779880582438,,,,
A_family_gap,efficiency_gap_pp,Hybrid,400,10.694473900480556,8.908645015727103,0.06537625348356357,54.95453771380988,6.174158308536974,14.856709907979859,,,,
A_family_gap,efficiency_gap_pp,iCMAB,625,39.93401248436564,33.82134460322082,6.344153740851141,63.910164465969665,27.674138355736133,62.56531537454855,,,,
B_capacity_delta,delta_eff_pp,,16,1.373807047424549,1.4390578630518291,-11.931000236827998,14.707502041232402,-2.4997015369109263,5.222821462348659,ADAPTIVE,T,,
B_capacity_delta,delta_eff_pp,,16,-2.0754798921774356,-0.07011266386727755,-9.98936621619616,0.7564908769714691,-4.3076480125053855,0.1482679541796088,ADAPTIVE,Tb,,
B_capacity_delta,delta_eff_pp,,16,-2.6034116579807307,-0.27625737532781613,-20.235660998678526,9.8236560611237,-7.321225078274317,1.5945383127897514,MARKOV,T,,
B_capacity_delta,delta_eff_pp,,16,-3.9692769554123735,-0.1536158327281285,-27.779869133852486,9.224182772359995,-6.639685320838151,0.01280192429930338,MARKOV,Tb,,
B_capacity_delta,delta_eff_pp,,16,1.167295737691064,1.3564249201851908,-10.972441075367811,11.497908647507586,-2.319632111287646,5.013015838987577,NONE,T,,
B_capacity_delta,delta_eff_pp,,16,-2.6788394795543153,-2.0490744420199576,-13.830686691030351,4.99366154916396,-5.249494414777011,0.11744592484294714,NONE,Tb,,
B_capacity_delta,delta_eff_pp,,16,5.394386344397428,6.239196311551758,-13.085127679844689,17.933884905637512,-0.1312794364724752,10.416523738779496,ONLINEADAPTIVE,T,,
B_capacity_delta,delta_eff_pp,,16,-5.401765647326622,-0.1770769840655717,-31.386460215236497,3.460021944856436,-7.853371837430856,0.6367774147266267,ONLINEADAPTIVE,Tb,,
B_capacity_delta,delta_eff_pp,,16,0.714886454211956,0.47668325659302724,-6.199217533155121,7.854541112016435,-4.607784635259147,5.166007937526587,STOCHASTIC,T,,
B_capacity_delta,delta_eff_pp,,16,-0.9723269540637869,-0.35903336480104997,-4.443384586995506,4.715039789148236,-2.6060854912750635,-0.040379594900052496,STOCHASTIC,Tb,,
C_allocator_gap,gap_pct,,600,11.363784138402508,9.5148619779319,0.0653762534835635,54.95453771380989,6.667403252454655,16.25332452214798,,,Default,
C_allocator_gap,gap_pct,,600,9.956654012172383,7.369232321454405,0.0971653689613987,60.94288218828434,5.507127599312739,9.950015219801656,,,Dynamic,
C_allocator_gap,gap_pct,,600,24.467967865160343,14.338387749524443,0.423223828038175,85.90311500382032,6.030564207386753,44.320891264922196,,,Random,
C_allocator_gap,gap_pct,,600,9.494893281379674,7.030855818270126,0.0368619647793622,60.50407429103189,4.44639117296105,9.980168180201744,,,ThompsonSampling,
D_standardized_testbed,eff_pct,,1200,42.23170875378734,41.50435087241074,20.219198494717656,66.64235742302081,34.65541595500549,48.64160493538135,,,,paper12
D_standardized_testbed,eff_pct,,1200,73.02717942331464,70.38518995454231,41.55512664219436,97.62680561379972,66.9435987549222,87.07012556171905,,,,paper2
D_standardized_testbed,eff_pct,,888,74.35138567841273,71.49239684976968,47.250714836835655,100.0,68.57448054856827,84.43901346964665,,,,paper7
D_standardized_testbed,eff_pct,,1200,71.93762587416909,71.23581902853405,22.7230112607714,98.229758774748,65.12381872339749,87.86507626862567,,,,paper8
